Location,Main Library Name,10.15 Phone,Latitude,Longtitude,10.6 Street Address,10.7 City,10.8 Zip Code,10.9 Zip+4 Code,10.1 FSCSKey,URL
VALLEY SPRINGS BRANCH,CALAVERAS COUNTY LIBRARY,(209) 772-1318,38.19105,-120.83253,240 PINE ST.,VALLEY SPRINGS,95252,29,CA0018,www.calaveraslibrary.com
WEST POINT BRANCH LIBRARY,CALAVERAS COUNTY LIBRARY,(209) 293-7020,38.39866,-120.52643,54 BALD MOUNTAIN ROAD,WEST POINT,95255,N/A,CA0018,www.calaveraslibrary.com
CAMARENA MEMORIAL PUBLIC LIBRARY,CAMARENA MEMORIAL PUBLIC LIBRARY,(760) 768-2170,32.67527,-115.48765,850 ENCINAS AVENUE,CALEXICO,92231,2559,CA0019,https://calexicolibrary.org
CARNEGIE TECHNOLOGY CENTER,CAMARENA MEMORIAL PUBLIC LIBRARY,(760) 357-5525,32.66957,-115.49265,420 HEBER AVE.,CALEXICO,92231,2559,CA0019,https://calexicolibrary.org
CAMARILLO PUBLIC LIBRARY,CAMARILLO PUBLIC LIBRARY,(805) 388-5222,34.24317,-119.01390,4101 LAS POSAS RD,CAMARILLO,93010,3799,CA0209,http://camarillolibrary.org
Dove Library,CARLSBAD CITY LIBRARY,(760) 602-2038,33.10543,-117.26986,1775 DOVE LANE,CARLSBAD,92011,8516,CA0020,http://www.carlsbadlibrary.org
Georgina Cole Library,CARLSBAD CITY LIBRARY,(760) 434-2870,33.16495,-117.34051,1250 CARLSBAD VILLAGE DRIVE,CARLSBAD,92008,1991,CA0020,http://www.carlsbadlibrary.org
Library Learning Center,CARLSBAD CITY LIBRARY,(760) 931-4500,33.15934,-117.33858,3368 EUREKA PLACE,CARLSBAD,92008,2519,CA0020,http://www.carlsbadlibrary.org
CERRITOS PUBLIC LIBRARY,CERRITOS PUBLIC LIBRARY,(562) 916-1350,33.86705,-118.06474,18025 BLOOMFIELD AVE.,CERRITOS,90703,8525,CA0022,http://www.cerritoslibrary.us
Chula Vista Public Library Civic Center Branch,CHULA VISTA PUBLIC LIBRARY,(619) 691-5069,32.64094,-117.08336,365 F ST.,CHULA VISTA,91910,2697,CA0023,http://www.chulavistalibrary.com
OTAY RANCH LIBRARY,CHULA VISTA PUBLIC LIBRARY,(619) 397-5740,32.62384,-116.96698,2015 BIRCH RD,CHULA VISTA,91915,2005,CA0023,http://www.chulavistalibrary.com
SOUTH CHULA VISTA,CHULA VISTA PUBLIC LIBRARY,(619) 585-5755,32.60191,-117.06855,389 ORANGE AVENUE,CHULA VISTA,91911,4116,CA0023,http://www.chulavistalibrary.com
ATLANTIC BRANCH,CITY OF COMMERCE PUBLIC LIBRARY,(323) 780-1176,34.00516,-118.16498,2269 S. ATLANTIC BLVD,COMMERCE,90040,3955,CA0027,https://www.cocpl.org
BRISTOW PARK LIBRARY,CITY OF COMMERCE PUBLIC LIBRARY,(323) 265-1787,34.01304,-118.16923,1466 S. MCDONNELL AVE.,COMMERCE,90040,1410,CA0027,https://www.cocpl.org
COMMERCE PUBLIC LIBRARY,CITY OF COMMERCE PUBLIC LIBRARY,(323) 722-6660,34.00033,-118.15669,5655 JILLSON ST.,COMMERCE,90040,1485,CA0027,https://www.cocpl.org
GREENWOOD BRANCH,CITY OF COMMERCE PUBLIC LIBRARY,(562) 927-1516,33.98624,-118.12455,6134 S. GREENWOOD AVE.,COMMERCE,90040,3855,CA0027,https://www.cocpl.org
COALINGA-HURON LIBRARY DISTRICT,COALINGA-HURON LIBRARY DISTRICT,(559) 935-1058,36.14141,-120.36094,305 N. 4TH ST.,COALINGA,93210,2896,CA0024,http://www.coalingahuronlibrary.org/
HURON BRANCH LIBRARY,COALINGA-HURON LIBRARY DISTRICT,(559) 945-2284,36.21002,-120.09951,36050 O ST.,HURON,93234,N/A,CA0024,http://www.coalingahuronlibrary.org/
COLTON PUBLIC LIBRARY,COLTON PUBLIC LIBRARY,(909) 370-5189,34.07177,-117.32120,656 N. 9TH ST.,COLTON,92324,2807,CA0025,http://www.ci.colton.ca.us/Pages/librarywelcome.htm
LUQUE BRANCH LIBRARY,COLTON PUBLIC LIBRARY,(909) 370-5182,34.05923,-117.32213,294 E. O ST.,COLTON,92324,3465,CA0025,http://www.ci.colton.ca.us/Pages/librarywelcome.htm
ARBUCKLE BRANCH,COLUSA COUNTY FREE LIBRARY,(530) 476-2526,39.01534,-122.05831,610 KING ST.,ARBUCKLE,95912,893,CA0026,https://www.countyofcolusa.org/24/Library
COLUSA COUNTY FREE LIBRARY,COLUSA COUNTY FREE LIBRARY,(530) 458-7671,39.21504,-122.01097,738 MARKET ST.,COLUSA,95932,2327,CA0026,https://www.countyofcolusa.org/24/Library
GRIMES BRANCH,COLUSA COUNTY FREE LIBRARY,(530) 437-2428,39.07426,-121.89432,240 MAIN,GRIMES,95950,275,CA0026,https://www.countyofcolusa.org/24/Library
MAXWELL BRANCH,COLUSA COUNTY FREE LIBRARY,(530) 438-2250,39.27647,-122.19219,34 OAK ST.,MAXWELL,95955,2359,CA0026,https://www.countyofcolusa.org/24/Library
PRINCETON BRANCH,COLUSA COUNTY FREE LIBRARY,(530) 439-2235,39.44839,-122.02692,232 PRINCE ST.,PRINCETON,95970,97,CA0026,https://www.countyofcolusa.org/24/Library
STONYFORD BRANCH,COLUSA COUNTY FREE LIBRARY,(530) 963-3722,39.36893,-122.54819,5080 STONYFORD-LODOGA RD,STONYFORD,95979,N/A,CA0026,https://www.countyofcolusa.org/24/Library
WILLIAMS BRANCH,COLUSA COUNTY FREE LIBRARY,(530) 473-5955,39.15352,-122.15185,901 E ST.,WILLIAMS,95987,N/A,CA0026,https://www.countyofcolusa.org/24/Library
ANTIOCH LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 757-9224,38.00471,-121.81262,501 W. 18TH STREET,ANTIOCH,94509,2292,CA0028,http://ccclib.org
BAY POINT,CONTRA COSTA COUNTY LIBRARY,(925) 458-9597,38.03363,-121.96715,205 PACIFICA AVENUE,BAY POINT,94565,2904,CA0028,http://ccclib.org
BRENTWOOD LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 516-5290,37.93361,-121.69258,104 OAK STREET,BRENTWOOD,94513,1359,CA0028,http://ccclib.org
CLAYTON COMMUNITY LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 673-0659,37.94256,-121.93531,6125 CLAYTON ROAD,CLAYTON,94517,1241,CA0028,http://ccclib.org
CONCORD LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 646-5455,37.98159,-122.02519,2900 SALVIO STREET,CONCORD,94519,2597,CA0028,http://ccclib.org
CROCKETT LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 787-2345,38.05542,-122.22074,991 LORING AVENUE,CROCKETT,94525,1168,CA0028,http://ccclib.org
DANVILLE LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 837-4889,37.82086,-121.99561,400 FRONT STREET,DANVILLE,94526,3465,CA0028,http://ccclib.org
DOUGHERTY STATION LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 973-3380,37.75391,-121.90973,17017 BOLLINGER CANYON RD.,SAN RAMON,94582,5817,CA0028,http://ccclib.org
EL CERRITO LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 526-7512,37.90841,-122.30398,6510 STOCKTON AVE.,EL CERRITO,94530,3189,CA0028,http://ccclib.org
EL SOBRANTE LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 374-3991,37.96740,-122.30964,4191 APPIAN WAY,EL SOBRANTE,94803,2298,CA0028,http://ccclib.org
HERCULES LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 245-2420,38.00957,-122.26517,109 CIVIC DR.,HERCULES,94547,1771,CA0028,http://ccclib.org
KENSINGTON LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 524-3043,37.91298,-122.28103,61 ARLINGTON AVE.,KENSINGTON,94707,1037,CA0028,http://ccclib.org
LAFAYETTE LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 385-2280,37.89226,-122.11602,3491 MT. DIABLO BLVD.,LAFAYETTE,94549,4594,CA0028,http://ccclib.org
MARTINEZ LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 646-2898,38.01795,-122.13418,740 COURT ST.,MARTINEZ,94553,1218,CA0028,http://ccclib.org
MORAGA LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 376-6852,37.84135,-122.11014,1500 ST. MARY`S RD.,MORAGA,94556,2099,CA0028,http://ccclib.org
OAKLEY LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 625-2400,37.97065,-121.71803,1050 NEROLY ROAD,OAKLEY,94561,3843,CA0028,http://ccclib.org
ORINDA LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 254-2184,37.88253,-122.18746,26 ORINDA WAY,ORINDA,94563,2519,CA0028,http://ccclib.org
PLEASANT HILL LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 646-6434,37.93486,-122.06839,100 GREGORY LANE,PLEASANT HILL,94523,4497,CA0028,http://ccclib.org
PINOLE LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 758-2741,37.99242,-122.28499,2935 PINOLE VALLEY RD.,PINOLE,94564,1494,CA0028,http://ccclib.org
PITTSBURG LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 427-8390,38.01874,-121.89090,80 POWER AVE.,PITTSBURG,94565,3842,CA0028,http://ccclib.org
PREWETT LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 776-3060,37.96627,-121.77448,4703 LONE TREE WAY,ANTIOCH,94531,8494,CA0028,http://ccclib.org
RODEO LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 799-2606,38.03525,-122.26842,220 PACIFIC AVE.,RODEO,94572,1118,CA0028,http://ccclib.org
SAN PABLO LIBRARY,CONTRA COSTA COUNTY LIBRARY,(510) 374-3998,37.95788,-122.33993,13751 SAN PABLO AVE.,SAN PABLO,94806,3701,CA0028,http://ccclib.org
SAN RAMON BRANCH LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 973-2850,37.76433,-121.95327,100 MONTGOMERY ST.,SAN RAMON,94583,4707,CA0028,http://ccclib.org
WALNUT CREEK LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 977-3340,37.90132,-122.06026,1644 N. BROADWAY,WALNUT CREEK,94596,4297,CA0028,http://ccclib.org
YGNACIO VALLEY LIBRARY,CONTRA COSTA COUNTY LIBRARY,(925) 938-1481,37.92408,-122.01262,2661 OAK GROVE RD.,WALNUT CREEK,94598,3627,CA0028,http://ccclib.org
CORONA PUBLIC LIBRARY,CORONA PUBLIC LIBRARY,(951) 736-2381,33.87499,-117.56804,650 SOUTH MAIN ST.,CORONA,92882,3417,CA0029,http://www.coronaca.gov/library
CORONADO PUBLIC LIBRARY,CORONADO PUBLIC LIBRARY,(619) 522-7390,32.69120,-117.17767,640 ORANGE AVE.,CORONADO,92118,1526,CA0160,http://www.coronado.ca.us/library
COVINA PUBLIC LIBRARY,COVINA PUBLIC LIBRARY,(626) 384-5303,34.08820,-117.88745,234 N. SECOND AVE.,COVINA,91723,2198,CA0030,http://www.covinaca.gov/library
Crowell Public Library,CROWELL PUBLIC LIBRARY,(626) 300-0777,34.11901,-118.11269,1890 HUNTINGTON DR.,SAN MARINO,91108,2595,CA0119,http://crowellpubliclibrary.org
BAYSHORE LIBRARY,DALY CITY PUBLIC LIBRARY,(650) 991-8074,37.70160,-122.41897,460 MARTIN ST.,DALY CITY,94014,1515,CA0031,http://www.dalycity.org/library
JOHN D. DALY LIBRARY,DALY CITY PUBLIC LIBRARY,(650) 991-8073,37.70202,-122.46261,134 HILLSIDE BLVD,DALY CITY,94014,2012,CA0031,http://www.dalycity.org/library
SERRAMONTE LIBRARY,DALY CITY PUBLIC LIBRARY,(650) 991-8023,37.66304,-122.47039,40 WEMBLEY DRIVE,DALY CITY,94015,4399,CA0031,http://www.dalycity.org/library
WESTLAKE LIBRARY,DALY CITY PUBLIC LIBRARY,(650) 991-8071,37.69722,-122.48540,275 SOUTHGATE AVE.,DALY CITY,94015,3471,CA0031,http://www.dalycity.org/library
DEL NORTE COUNTY LIBRARY DISTRICT,DEL NORTE COUNTY LIBRARY DISTRICT,(707) 464-9793,41.75575,-124.20259,190 PRICE MALL,CRESCENT CITY,95531,4395,CA0032,http://www.delnortecountylibrary.org
SMITH RIVER BRANCH,DEL NORTE COUNTY LIBRARY DISTRICT,(707) 464-7072,41.92632,-124.14821,241 FIRST ST.,SMITH RIVER,95567,9517,CA0032,http://www.delnortecountylibrary.org
DOWNEY CITY LIBRARY,DOWNEY CITY LIBRARY,(562) 904-7360,33.93969,-118.12882,11121 BROOKSHIRE AVE.,DOWNEY,90241,3860,CA0034,http://www.downeylibrary.org
Community Center Branch Library,EL CENTRO PUBLIC LIBRARY,(760) 336-8977,32.79031,-115.54382,375 S. FIRST ST.,EL CENTRO,92243,2766,CA0035,http://www.cityofelcentro.org/library/
EL CENTRO PUBLIC LIBRARY,EL CENTRO PUBLIC LIBRARY,(760) 337-4565,32.80247,-115.57161,1140 N. IMPERIAL AVE.,EL CENTRO,92243,2973,CA0035,http://www.cityofelcentro.org/library/
CAMERON PARK BRANCH,EL DORADO COUNTY LIBRARY,(530) 621-5500,38.65996,-121.00571,2500 COUNTRY CLUB DR.,CAMERON PARK,95682,7717,CA0036,http://www.eldoradolibrary.org/
EL DORADO COUNTY LIBRARY,EL DORADO COUNTY LIBRARY,(530) 621-5540,38.72892,-120.82769,345 FAIR LANE,PLACERVILLE,95667,4196,CA0036,http://www.eldoradolibrary.org/
El Dorado Hills Branch Library,EL DORADO COUNTY LIBRARY,(916) 358-3500,38.67204,-121.06459,7455 SILVA VALLEY PARKWAY,EL DORADO HILLS,95762,7504,CA0036,http://www.eldoradolibrary.org/
GEORGETOWN LIBRARY,EL DORADO COUNTY LIBRARY,(530) 333-4724,38.90634,-120.83762,6680 ORLEANS STREET,GEORGETOWN,95634,N/A,CA0036,http://www.eldoradolibrary.org/
