Event,Date,Description,Location
North Park Thursday Market 2024,"Thursday, October 24, 2024","Check out the North Park Thursday Market every Thursday from 3pm to 7:30pm, located between Granada Avenue and Ray Street on North Park Way. Shop tons of different items like fresh produce, prepared foods, flowers, apparel, baked goods, and more!",North Park
Little Italy Mercato Wednesday,"Friday, October 25, 2024","This weekday farmer's market offers a smaller version of the Little Italy Saturday Mercato on 3 blocks of West Date Street. Featured items include farm fresh fruits and vegetables, eggs, yogurt, baked goods, and specialty food. Come and shop!",Little Italy
"Pacific Beach Tennis Club - 2024 Tennis Mixers, Exhibitions, and Socials","Friday, October 25, 2024","Similar events as mentioned previously, with opportunities to play, compete, and socialize.",Pacific Beach Tennis Club
Mission Valley Farmers Market,"Saturday, October 26, 2024","The Mission Valley Farmers Market is held every Saturday from 9am - 1pm. Fresh produce, flowers, and specialty foods. Food Court too.",Mission Valley
Little Italy Mercato Wednesday,"Saturday, October 26, 2024","This weekday farmer's market offers a smaller version of the Little Italy Saturday Mercato on 3 blocks of West Date Street. Featured items include farm fresh fruits and vegetables, eggs, yogurt, baked goods, and specialty food. Come and shop!",Little Italy
"Pacific Beach Tennis Club - 2024 Tennis Mixers, Exhibitions, and Socials","Saturday, October 26, 2024","Similar events as mentioned previously, with opportunities to play, compete, and socialize.",Pacific Beach Tennis Club
Hillcrest Farmers Market 2024,"Sunday, October 27, 2024","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!",Hillcrest
Mission Valley Farmers Market,"Saturday, November 2, 2024, 9am - 1pm","The Mission Valley Farmers Market is held every Saturday from 9am - 1pm. Fresh produce, flowers, and specialty foods. Food Court too.",Mission Valley
"Pacific Beach Tennis Club - 2024 Tennis Mixers, Exhibitions, and Socials","Saturday, November 2, 2024, 4 - 8pm","Pacific Beach Tennis Club's members are extremely important to us, and we strive to help our members create wonderful relationships and memories. Numerous adult racquet sport events throughout the year offer opportunities to play, compete, and socialize. Regardless of one’s tennis or pickleball level or ability, members are always welcome.",Pacific Beach Tennis Club
Hillcrest Farmers Market 2024,"Sunday, November 3, 2024, 9am - 2pm","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!",Hillcrest
La Jolla Open Aire Market,"Sunday, November 3, 2024, 9am - 1pm","The La Jolla Open Aire Farmers Market features local farmers, unique artisans, and international gourmet food vendors. Open Sundays from 9am-1pm, all proceeds from the market benefit La Jolla Elementary School.",La Jolla
ASCENDKemet Collective Certified Farmers Market (City Heights),"Sunday, November 3, 2024, 10am - 2pm","ASCENDKemet Collective Farmer's Market aims to engage and educate the community on the rich cultural heritage of Kemet (ancient Egypt) through arts, environmental education, and wellness activities.",City Heights
Pacific Beach Tuesday Farmers Market,"Tuesday, November 5, 2024, 2 - 7pm","The Pacific Beach Tuesday Farmers' Market offers the unique opportunity for customers to meet the farmers and makers of fresh fare from local businesses. Find fresh produce, meats, cheeses, bread, flowers, dips, spreads, and gourmet dining options.",Pacific Beach
Little Italy Mercato Wednesday,"Wednesday, November 6, 2024, 9:30am - 1:30pm","This weekday farmer's market offers a smaller version of the Little Italy Saturday Mercato. Featured items include farm fresh fruits and vegetables, eggs, yogurt, baked goods, and specialty food. Come and shop!",Little Italy
Curbside Bites Food Truck Markets - Downtown Lunch,"Wednesday, November 6, 2024, 11am - 2pm",San Diego's most popular local food trucks serving lunch every Wednesday in Downtown San Diego.,Downtown San Diego
Ocean Beach Certified Farmers' Market,"Wednesday, November 6, 2024, 4 - 8pm","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!",Ocean Beach
"Pacific Beach Tennis Club - 2024 Tennis Mixers, Exhibitions, and Socials","Wednesday, November 6, 2024, 4 - 8pm","Similar to previous descriptions, Pacific Beach Tennis Club offers numerous adult racquet sport events throughout the year for members to play, compete, and socialize, fostering community and friendships. Events include mixers, tournaments, and exhibitions, welcoming players of all levels.",Pacific Beach Tennis Club
