Location,Main Library Name,10.15 Phone,Address,10.7 City,Zip Code,10.9 Zip+4 Code,URL
Bear Valley Library Station,ALPINE COUNTY LIBRARY/ARCHIVES,(209) 753-6219,367 Creekside Dr.,BEAR VALLEY,95223,,http://www.alpinecountyca.gov/Index.aspx?NID=107
Altadena Library District,ALTADENA LIBRARY DISTRICT,(626) 798-0833,600 E. Mariposa St.,ALTADENA,91001,2211.0,http://www.altadenalibrary.org
Bob Lucas Memorial Library And Literacy Cente,ALTADENA LIBRARY DISTRICT,(626) 798-8338,2659 N. Lincoln Ave.,ALTADENA,91001,5449.0,http://www.altadenalibrary.org
Amador County Library,AMADOR COUNTY LIBRARY,(209) 223-6400,530 Sutter St.,JACKSON,95642,2379.0,http://www.amadorgov.org/departments/library
Ione Branch,AMADOR COUNTY LIBRARY,(209) 274-2560,25 East Main St.,IONE,95640,,http://www.amadorgov.org/departments/library
Pine Grove Branch,AMADOR COUNTY LIBRARY,(209) 296-3111,19889 Hwy 88,PINE GROVE,95665,,http://www.amadorgov.org/departments/library
Pioneer Branch,AMADOR COUNTY LIBRARY,(209) 295-7330,25070 Buckhorn Ridge Rd.,PIONEER,95666,,http://www.amadorgov.org/departments/library
Plymouth Branch,AMADOR COUNTY LIBRARY,(209) 245-6476,9375 Main St.,PLYMOUTH,95669,,http://www.amadorgov.org/departments/library
Anaheim Central Library,ANAHEIM PUBLIC LIBRARY,(714) 765-1880,500 W. Broadway,ANAHEIM,92805,3699.0,http://anaheim.net/library
Anaheim Heritage Center @ The Muzeo,ANAHEIM PUBLIC LIBRARY,(714) 765-6453,241 S. Anaheim Blvd.,ANAHEIM,92805,3821.0,http://anaheim.net/library
Canyon Hills Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-6444,400 Scout Trail,ANAHEIM,92807,4763.0,http://anaheim.net/library
East Anaheim Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-3887,8201 E. Santa Ana Canyon Rd.,ANAHEIM,92808,2288.0,http://anaheim.net/library
Euclid Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-3625,1340 S. Euclid,ANAHEIM,92802,2002.0,http://anaheim.net/library
Haskett Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-5075,2650 W. Broadway,ANAHEIM,92804,2124.0,http://anaheim.net/library
Ponderosa Joint Use Library,ANAHEIM PUBLIC LIBRARY,(714) 740-0202,240 E. Orangewood Ave.,ANAHEIM,92802,4311.0,http://anaheim.net/library
Sunkist Branch Library,ANAHEIM PUBLIC LIBRARY,(714) 765-3576,901 S. Sunkist,ANAHEIM,92806,4739.0,http://anaheim.net/library
Arcadia Public Library,ARCADIA PUBLIC LIBRARY,(626) 821-5567,20 W. Duarte Road,ARCADIA,91006,6999.0,http://www.arcadiaca.gov/library
Azusa City Library,AZUSA CITY LIBRARY,(626) 812-5232,729 N. Dalton Ave.,AZUSA,91702,2550.0,http://www.azusaca.gov/library
Banning Library District,BANNING LIBRARY DISTRICT,(951) 849-3192,21 W. Nicolet St.,BANNING,92220,4607.0,http://www.banninglibrarydistrict.org/
Beaumont Library District Library,BEAUMONT LIBRARY DISTRICT,(951) 845-1357,125 E. Eighth St.,BEAUMONT,92223,2194.0,http://bld.lib.ca.us
Belvedere Tiburon Library,BELVEDERE-TIBURON LIBRARY,(415) 789-2665,1501 Tiburon Blvd,TIBURON,94920,2530.0,https://beltiblibrary.org
Benicia Public Library,BENICIA PUBLIC LIBRARY,(707) 746-4343,150 E. L St.,BENICIA,94510,3281.0,https://www.benicialibrary.org
Berkeley Public Library - Central,BERKELEY PUBLIC LIBRARY,(510) 981-6100,2090 Kittredge St.,BERKELEY,94704,1427.0,http://www.berkeleypubliclibrary.org/
Claremont Branch Library,BERKELEY PUBLIC LIBRARY,(510) 981-6280,2940 Benvenue Ave.,BERKELEY,94705,2231.0,http://www.berkeleypubliclibrary.org/
North Branch Library,BERKELEY PUBLIC LIBRARY,(510) 981-6250,1170 The Alameda,BERKELEY,94707,2502.0,http://www.berkeleypubliclibrary.org/
South Branch Library,BERKELEY PUBLIC LIBRARY,(510) 981-6260,1901 Russell St.,BERKELEY,94703,2221.0,http://www.berkeleypubliclibrary.org/
West Branch Library,BERKELEY PUBLIC LIBRARY,(510) 981-6270,1125 University Ave.,BERKELEY,94702,1605.0,http://www.berkeleypubliclibrary.org/
Beverly Hills Public Library,BEVERLY HILLS PUBLIC LIBRARY,(310) 288-2220,444 N. Rexford Dr.,BEVERLY HILLS,90210,4877.0,http://www.bhpl.org
Roxbury Park Senior Adult Library,BEVERLY HILLS PUBLIC LIBRARY,(310) 285-6849,401 S. Roxbury Dr.,BEVERLY HILLS,90212,4113.0,http://www.bhpl.org
Blanchard Community Library,BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,(805) 525-3615,119 N. Eighth St.,SANTA PAULA,93060,2709.0,http://www.blanchardlibrary.org
Brawley Public Library,BRAWLEY PUBLIC LIBRARY,(760) 344-1891,400 Main St.,BRAWLEY,92227,2491.0,brawley-ca.gov/section/Library
Del Rio Branch,BRAWLEY PUBLIC LIBRARY,(760) 344-1891,1501 I St.,BRAWLEY,92227,3603.0,brawley-ca.gov/section/Library
Buena Park Library District,BUENA PARK LIBRARY DISTRICT,(714) 826-4100,7150 La Palma Ave.,BUENA PARK,90620,2547.0,http://www.buenaparklibrary.org/
Buena Vista Branch,BURBANK PUBLIC LIBRARY,(818) 238-5620,300 N. Buena Vista Street,BURBANK,91505,3208.0,http://www.BurbankLibrary.org
Burbank Public Library,BURBANK PUBLIC LIBRARY,(818) 238-5551,110 N. Glenoaks Blvd.,BURBANK,91502,1203.0,http://www.BurbankLibrary.org
Northwest Branch,BURBANK PUBLIC LIBRARY,(818) 238-5640,3323 W. Victory Blvd.,BURBANK,91505,1543.0,http://www.BurbankLibrary.org
Burlingame Main Library,BURLINGAME PUBLIC LIBRARY,(650) 558-7474,480 Primrose Road,BURLINGAME,94010,4812.0,http://www.burlingame.org/library
Easton Branch,BURLINGAME PUBLIC LIBRARY,(650) 340-6180,1800 Easton Drive,BURLINGAME,94010,4083.0,http://www.burlingame.org/library
Biggs Branch,BUTTE COUNTY LIBRARY,(530) 552-5652,464A B St.,BIGGS,95917,9796.0,http://www.buttecounty.net/bclibrary
Butte County Library,BUTTE COUNTY LIBRARY,(530) 552-5652,1820 Mitchell Avenue,OROVILLE,95966,5387.0,http://www.buttecounty.net/bclibrary
Chico Branch,BUTTE COUNTY LIBRARY,(530) 552-5652,1108 Sherman Avenue,CHICO,95926,3575.0,http://www.buttecounty.net/bclibrary
Durham Branch,BUTTE COUNTY LIBRARY,(530) 552-5652,2545 Durham Dayton Hwy,DURHAM,95938,9615.0,http://www.buttecounty.net/bclibrary
Gridley Branch,BUTTE COUNTY LIBRARY,(530) 552-5652,299 Spruce Street,GRIDLEY,95948,397.0,http://www.buttecounty.net/bclibrary
Paradise Branch,BUTTE COUNTY LIBRARY,(530) 552-5652,5922 Clark Road,PARADISE,95969,4896.0,http://www.buttecounty.net/bclibrary
City Of Calabasas Library,CALABASAS CITY LIBRARY,(818) 225-7616,200 Civic Center Way,CALABASAS,91302,4114.0,http://www.cityofcalabasas.com/library.html
Angels Camp Branch,CALAVERAS COUNTY LIBRARY,(209) 736-2198,426 N. Main Street,ANGELS CAMP,95222,,www.calaveraslibrary.com
Arnold Branch,CALAVERAS COUNTY LIBRARY,(209) 795-1009,1065 Blagen Road,ARNOLD,95223,,www.calaveraslibrary.com
Calaveras County Library,CALAVERAS COUNTY LIBRARY,(209) 754-6510,1299 Gold Hunter Road,SAN ANDREAS,95249,9713.0,www.calaveraslibrary.com
Copperopolis Branch Library,CALAVERAS COUNTY LIBRARY,(209) 785-0920,Suite 106 Lake Tulloch Plaza,COPPEROPOLIS,95228,9746.0,www.calaveraslibrary.com
Mokelumne Hill Branch Library,CALAVERAS COUNTY LIBRARY,(209) 286-0507,8328 Main St.,MOKELUMNE HILL,95245,9776.0,www.calaveraslibrary.com
Murphys Branch,CALAVERAS COUNTY LIBRARY,(209) 728-3036,480 Park Lane,MURPHYS,95247,,www.calaveraslibrary.com
Valley Springs Branch,CALAVERAS COUNTY LIBRARY,(209) 772-1318,240 Pine St.,VALLEY SPRINGS,95252,29.0,www.calaveraslibrary.com
West Point Branch Library,CALAVERAS COUNTY LIBRARY,(209) 293-7020,54 Bald Mountain Road,WEST POINT,95255,,www.calaveraslibrary.com
Camarena Memorial Public Library,CAMARENA MEMORIAL PUBLIC LIBRARY,(760) 768-2170,850 Encinas Avenue,CALEXICO,92231,2559.0,https://calexicolibrary.org
Carnegie Technology Center,CAMARENA MEMORIAL PUBLIC LIBRARY,(760) 357-5525,420 Heber Ave.,CALEXICO,92231,2559.0,https://calexicolibrary.org
Camarillo Public Library,CAMARILLO PUBLIC LIBRARY,(805) 388-5222,4101 Las Posas Rd,CAMARILLO,93010,3799.0,http://camarillolibrary.org
Dove Library,CARLSBAD CITY LIBRARY,(760) 602-2038,1775 Dove Lane,CARLSBAD,92011,8516.0,http://www.carlsbadlibrary.org
Georgina Cole Library,CARLSBAD CITY LIBRARY,(760) 434-2870,1250 Carlsbad Village Drive,CARLSBAD,92008,1991.0,http://www.carlsbadlibrary.org
Library Learning Center,CARLSBAD CITY LIBRARY,(760) 931-4500,3368 Eureka Place,CARLSBAD,92008,2519.0,http://www.carlsbadlibrary.org
Cerritos Public Library,CERRITOS PUBLIC LIBRARY,(562) 916-1350,18025 Bloomfield Ave.,CERRITOS,90703,8525.0,http://www.cerritoslibrary.us
Chula Vista Public Library Civic Center Branch,CHULA VISTA PUBLIC LIBRARY,(619) 691-5069,365 F St.,CHULA VISTA,91910,2697.0,http://www.chulavistalibrary.com
Otay Ranch Library,CHULA VISTA PUBLIC LIBRARY,(619) 397-5740,2015 Birch Rd,CHULA VISTA,91915,2005.0,http://www.chulavistalibrary.com
South Chula Vista,CHULA VISTA PUBLIC LIBRARY,(619) 585-5755,389 Orange Avenue,CHULA VISTA,91911,4116.0,http://www.chulavistalibrary.com
Atlantic Branch,CITY OF COMMERCE PUBLIC LIBRARY,(323) 780-1176,2269 S. Atlantic Blvd,COMMERCE,90040,3955.0,https://www.cocpl.org
Bristow Park Library,CITY OF COMMERCE PUBLIC LIBRARY,(323) 265-1787,1466 S. Mcdonnell Ave.,COMMERCE,90040,1410.0,https://www.cocpl.org
Commerce Public Library,CITY OF COMMERCE PUBLIC LIBRARY,(323) 722-6660,5655 Jillson St.,COMMERCE,90040,1485.0,https://www.cocpl.org
Greenwood Branch,CITY OF COMMERCE PUBLIC LIBRARY,(562) 927-1516,6134 S. Greenwood Ave.,COMMERCE,90040,3855.0,https://www.cocpl.org
Coalinga-Huron Library District,COALINGA-HURON LIBRARY DISTRICT,(559) 935-1058,305 N. 4Th St.,COALINGA,93210,2896.0,http://www.coalingahuronlibrary.org/
Huron Branch Library,COALINGA-HURON LIBRARY DISTRICT,(559) 945-2284,36050 O St.,HURON,93234,,http://www.coalingahuronlibrary.org/
Colton Public Library,COLTON PUBLIC LIBRARY,(909) 370-5189,656 N. 9Th St.,COLTON,92324,2807.0,http://www.ci.colton.ca.us/Pages/librarywelcome.htm
Luque Branch Library,COLTON PUBLIC LIBRARY,(909) 370-5182,294 E. O St.,COLTON,92324,3465.0,http://www.ci.colton.ca.us/Pages/librarywelcome.htm
Arbuckle Branch,COLUSA COUNTY FREE LIBRARY,(530) 476-2526,610 King St.,ARBUCKLE,95912,893.0,https://www.countyofcolusa.org/24/Library
Colusa County Free Library,COLUSA COUNTY FREE LIBRARY,(530) 458-7671,738 Market St.,COLUSA,95932,2327.0,https://www.countyofcolusa.org/24/Library
Grimes Branch,COLUSA COUNTY FREE LIBRARY,(530) 437-2428,240 Main,GRIMES,95950,275.0,https://www.countyofcolusa.org/24/Library
Maxwell Branch,COLUSA COUNTY FREE LIBRARY,(530) 438-2250,34 Oak St.,MAXWELL,95955,2359.0,https://www.countyofcolusa.org/24/Library
Princeton Branch,COLUSA COUNTY FREE LIBRARY,(530) 439-2235,232 Prince St.,PRINCETON,95970,97.0,https://www.countyofcolusa.org/24/Library
Stonyford Branch,COLUSA COUNTY FREE LIBRARY,(530) 963-3722,5080 Stonyford-Lodoga Rd,STONYFORD,95979,,https://www.countyofcolusa.org/24/Library
Williams Branch,COLUSA COUNTY FREE LIBRARY,(530) 473-5955,901 E St.,WILLIAMS,95987,,https://www.countyofcolusa.org/24/Library
Antioch Library,CONTRA COSTA COUNTY LIBRARY,(925) 757-9224,501 W. 18Th Street,ANTIOCH,94509,2292.0,http://ccclib.org
Bay Point,CONTRA COSTA COUNTY LIBRARY,(925) 458-9597,205 Pacifica Avenue,BAY POINT,94565,2904.0,http://ccclib.org
Brentwood Library,CONTRA COSTA COUNTY LIBRARY,(925) 516-5290,104 Oak Street,BRENTWOOD,94513,1359.0,http://ccclib.org
Clayton Community Library,CONTRA COSTA COUNTY LIBRARY,(925) 673-0659,6125 Clayton Road,CLAYTON,94517,1241.0,http://ccclib.org
Concord Library,CONTRA COSTA COUNTY LIBRARY,(925) 646-5455,2900 Salvio Street,CONCORD,94519,2597.0,http://ccclib.org
Crockett Library,CONTRA COSTA COUNTY LIBRARY,(510) 787-2345,991 Loring Avenue,CROCKETT,94525,1168.0,http://ccclib.org
Danville Library,CONTRA COSTA COUNTY LIBRARY,(925) 837-4889,400 Front Street,DANVILLE,94526,3465.0,http://ccclib.org
Dougherty Station Library,CONTRA COSTA COUNTY LIBRARY,(925) 973-3380,17017 Bollinger Canyon Rd.,SAN RAMON,94582,5817.0,http://ccclib.org
El Cerrito Library,CONTRA COSTA COUNTY LIBRARY,(510) 526-7512,6510 Stockton Ave.,EL CERRITO,94530,3189.0,http://ccclib.org
El Sobrante Library,CONTRA COSTA COUNTY LIBRARY,(510) 374-3991,4191 Appian Way,EL SOBRANTE,94803,2298.0,http://ccclib.org
Hercules Library,CONTRA COSTA COUNTY LIBRARY,(510) 245-2420,109 Civic Dr.,HERCULES,94547,1771.0,http://ccclib.org
Kensington Library,CONTRA COSTA COUNTY LIBRARY,(510) 524-3043,61 Arlington Ave.,KENSINGTON,94707,1037.0,http://ccclib.org
Lafayette Library,CONTRA COSTA COUNTY LIBRARY,(925) 385-2280,3491 Mt. Diablo Blvd.,LAFAYETTE,94549,4594.0,http://ccclib.org
Martinez Library,CONTRA COSTA COUNTY LIBRARY,(925) 646-2898,740 Court St.,MARTINEZ,94553,1218.0,http://ccclib.org
Moraga Library,CONTRA COSTA COUNTY LIBRARY,(925) 376-6852,1500 St. Mary`S Rd.,MORAGA,94556,2099.0,http://ccclib.org
Oakley Library,CONTRA COSTA COUNTY LIBRARY,(925) 625-2400,1050 Neroly Road,OAKLEY,94561,3843.0,http://ccclib.org
Orinda Library,CONTRA COSTA COUNTY LIBRARY,(925) 254-2184,26 Orinda Way,ORINDA,94563,2519.0,http://ccclib.org
Pleasant Hill Library,CONTRA COSTA COUNTY LIBRARY,(925) 646-6434,100 Gregory Lane,PLEASANT HILL,94523,4497.0,http://ccclib.org
Pinole Library,CONTRA COSTA COUNTY LIBRARY,(510) 758-2741,2935 Pinole Valley Rd.,PINOLE,94564,1494.0,http://ccclib.org
Pittsburg Library,CONTRA COSTA COUNTY LIBRARY,(925) 427-8390,80 Power Ave.,PITTSBURG,94565,3842.0,http://ccclib.org
Prewett Library,CONTRA COSTA COUNTY LIBRARY,(925) 776-3060,4703 Lone Tree Way,ANTIOCH,94531,8494.0,http://ccclib.org
Rodeo Library,CONTRA COSTA COUNTY LIBRARY,(510) 799-2606,220 Pacific Ave.,RODEO,94572,1118.0,http://ccclib.org
San Pablo Library,CONTRA COSTA COUNTY LIBRARY,(510) 374-3998,13751 San Pablo Ave.,SAN PABLO,94806,3701.0,http://ccclib.org
San Ramon Branch Library,CONTRA COSTA COUNTY LIBRARY,(925) 973-2850,100 Montgomery St.,SAN RAMON,94583,4707.0,http://ccclib.org
Walnut Creek Library,CONTRA COSTA COUNTY LIBRARY,(925) 977-3340,1644 N. Broadway,WALNUT CREEK,94596,4297.0,http://ccclib.org
Ygnacio Valley Library,CONTRA COSTA COUNTY LIBRARY,(925) 938-1481,2661 Oak Grove Rd.,WALNUT CREEK,94598,3627.0,http://ccclib.org
Corona Public Library,CORONA PUBLIC LIBRARY,(951) 736-2381,650 South Main St.,CORONA,92882,3417.0,http://www.coronaca.gov/library
Coronado Public Library,CORONADO PUBLIC LIBRARY,(619) 522-7390,640 Orange Ave.,CORONADO,92118,1526.0,http://www.coronado.ca.us/library
Covina Public Library,COVINA PUBLIC LIBRARY,(626) 384-5303,234 N. Second Ave.,COVINA,91723,2198.0,http://www.covinaca.gov/library
Crowell Public Library,CROWELL PUBLIC LIBRARY,(626) 300-0777,1890 Huntington Dr.,SAN MARINO,91108,2595.0,http://crowellpubliclibrary.org
Bayshore Library,DALY CITY PUBLIC LIBRARY,(650) 991-8074,460 Martin St.,DALY CITY,94014,1515.0,http://www.dalycity.org/library
John D. Daly Library,DALY CITY PUBLIC LIBRARY,(650) 991-8073,134 Hillside Blvd,DALY CITY,94014,2012.0,http://www.dalycity.org/library
Serramonte Library,DALY CITY PUBLIC LIBRARY,(650) 991-8023,40 Wembley Drive,DALY CITY,94015,4399.0,http://www.dalycity.org/library
Westlake Library,DALY CITY PUBLIC LIBRARY,(650) 991-8071,275 Southgate Ave.,DALY CITY,94015,3471.0,http://www.dalycity.org/library
Del Norte County Library District,DEL NORTE COUNTY LIBRARY DISTRICT,(707) 464-9793,190 Price Mall,CRESCENT CITY,95531,4395.0,http://www.delnortecountylibrary.org
Smith River Branch,DEL NORTE COUNTY LIBRARY DISTRICT,(707) 464-7072,241 First St.,SMITH RIVER,95567,9517.0,http://www.delnortecountylibrary.org
Downey City Library,DOWNEY CITY LIBRARY,(562) 904-7360,11121 Brookshire Ave.,DOWNEY,90241,3860.0,http://www.downeylibrary.org
Community Center Branch Library,EL CENTRO PUBLIC LIBRARY,(760) 336-8977,375 S. First St.,EL CENTRO,92243,2766.0,http://www.cityofelcentro.org/library/
El Centro Public Library,EL CENTRO PUBLIC LIBRARY,(760) 337-4565,1140 N. Imperial Ave.,EL CENTRO,92243,2973.0,http://www.cityofelcentro.org/library/
Cameron Park Branch,EL DORADO COUNTY LIBRARY,(530) 621-5500,2500 Country Club Dr.,CAMERON PARK,95682,7717.0,http://www.eldoradolibrary.org/
El Dorado County Library,EL DORADO COUNTY LIBRARY,(530) 621-5540,345 Fair Lane,PLACERVILLE,95667,4196.0,http://www.eldoradolibrary.org/
El Dorado Hills Branch Library,EL DORADO COUNTY LIBRARY,(916) 358-3500,7455 Silva Valley Parkway,EL DORADO HILLS,95762,7504.0,http://www.eldoradolibrary.org/
Georgetown Library,EL DORADO COUNTY LIBRARY,(530) 333-4724,6680 Orleans Street,GEORGETOWN,95634,,http://www.eldoradolibrary.org/
Pollock Pines Library,EL DORADO COUNTY LIBRARY,(530) 644-2498,6210 Pony Express Trail,POLLOCK PINES,95726,9617.0,http://www.eldoradolibrary.org/
South Lake Tahoe Library,EL DORADO COUNTY LIBRARY,(530) 573-3185,1000 Rufus Allen Blvd.,SOUTH LAKE TAHOE,96150,8204.0,http://www.eldoradolibrary.org/
Center Street School Branch Library,EL SEGUNDO PUBLIC LIBRARY,(310) 615-2680,700 Center St.,EL SEGUNDO,90245,3207.0,https://elsegundolibrary.org
El Segundo Public Library,EL SEGUNDO PUBLIC LIBRARY,(310) 524-2722,111 W. Mariposa Ave.,EL SEGUNDO,90245,2299.0,https://elsegundolibrary.org
High School Branch Library,EL SEGUNDO PUBLIC LIBRARY,(310) 615-2662,640 Main St.,EL SEGUNDO,90245,3057.0,https://elsegundolibrary.org
Middle School Branch Library,EL SEGUNDO PUBLIC LIBRARY,(310) 615-2685,332 Center Street,EL SEGUNDO,90245,4047.0,https://elsegundolibrary.org
Richmond Street Elementary School Library,EL SEGUNDO PUBLIC LIBRARY,(310) 606-6831,615 Richmond St.,EL SEGUNDO,90245,2283.0,https://elsegundolibrary.org
Escondido Public Library Pioneer Room,ESCONDIDO PUBLIC LIBRARY,(760) 839-4315,247 South Kalmia Street,ESCONDIDO,92025,4224.0,http://www.escondidolibrary.org
Escondido Public Library,ESCONDIDO PUBLIC LIBRARY,(760) 839-4684,239 S. Kalmia St.,ESCONDIDO,92025,,http://www.escondidolibrary.org
Escondido Public Library Literacy Learning Center,ESCONDIDO PUBLIC LIBRARY,(760) 747-5440,200 S. Broadway,ESCONDIDO,92025,,http://www.escondidolibrary.org
Folsom Public Library,FOLSOM PUBLIC LIBRARY,(916) 355-7374,411 Stafford St,FOLSOM,95630,2643.0,http://folsom.ca.us/library
Auberry Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 855-8523,33049 Auberry Road,AUBERRY,93602,658.0,http://www.fresnolibrary.org
Bear Mountain Branch,FRESNO COUNTY PUBLIC LIBRARY,(559) 332-2528,30733 E. Kings Canyon Road,SQUAW VALLEY,93675,9641.0,http://www.fresnolibrary.org
Betty Rodriguez Regional Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-9245,3040 N Cedar Ave,FRESNO,93703,1531.0,http://www.fresnolibrary.org
Big Creek Branch,FRESNO COUNTY PUBLIC LIBRARY,(559) 893-6614,51190 Point Road,BIG CREEK,93605,,http://www.fresnolibrary.org
Biola Station,FRESNO COUNTY PUBLIC LIBRARY,(559) 843-2001,4885 N. Biola Ave,BIOLA,93723,,http://www.fresnolibrary.org
Caruthers Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 864-8766,13382 South Henderson Rd.,CARUTHERS,93609,9463.0,http://www.fresnolibrary.org
Central Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-7323,2420 Mariposa St.,FRESNO,93721,2285.0,http://www.fresnolibrary.org
Clovis Regional Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-9531,1155 Fifth St.,CLOVIS,93612,1391.0,http://www.fresnolibrary.org
Easton Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 237-3929,25 E. Fantz Ave.,EASTON,93706,5813.0,http://www.fresnolibrary.org
Fig Garden Regional Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-4071,3071 W. Bullard,FRESNO,93711,1609.0,http://www.fresnolibrary.org
Firebaugh Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-9274,1315 O St.,FIREBAUGH,93622,2319.0,http://www.fresnolibrary.org
Fowler Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-3114,306 S. 7Th St.,FOWLER,93625,,http://www.fresnolibrary.org
Gillis Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 225-0140,629 W. Dakota,FRESNO,93705,2820.0,http://www.fresnolibrary.org
Kerman Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 846-8804,15081 W. Kearney Plaza,KERMAN,93630,1739.0,http://www.fresnolibrary.org
Kingsburg Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 897-3710,1399 Draper,KINGSBURG,93631,1928.0,http://www.fresnolibrary.org
Laton Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 923-4554,6313 Dewoody St.,LATON,93242,,http://www.fresnolibrary.org
Literacy Services Center,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-9240,2420 Mariposa Street,FRESNO,93721,2285.0,http://www.fresnolibrary.org
Mendota Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-9291,1246 Belmont Avenue,MENDOTA,93640,,http://www.fresnolibrary.org
Mosqueda Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-4072,4670 E. Butler,FRESNO,93702,4608.0,http://www.fresnolibrary.org
Orange Cove Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-9292,815 Park Blvd.,ORANGE COVE,93646,,http://www.fresnolibrary.org
Pinedale Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 439-0486,7170 N. San Pablo,PINEDALE,93650,1143.0,http://www.fresnolibrary.org
Parlier Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 646-3835,1130 E. Parlier Ave.,PARLIER,93648,2433.0,http://www.fresnolibrary.org
Piedra Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 787-3266,25385 Trimmer Springs Road,PIEDRA,93649,,http://www.fresnolibrary.org
Politi Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 431-6450,5771 N. First St.,FRESNO,93710,6269.0,http://www.fresnolibrary.org
Reedley Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 638-2818,1027 E St.,REEDLEY,93654,2982.0,http://www.fresnolibrary.org
Riverdale Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 867-3381,20975 Malsbary,RIVERDALE,93656,,http://www.fresnolibrary.org
San Joaquin Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 693-2171,8781 Main St.,SAN JOAQUIN,93660,,http://www.fresnolibrary.org
Sanger Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 875-2435,1812 Seventh St.,SANGER,93657,2805.0,http://www.fresnolibrary.org
